抓取日期,上榜日期,股票代码,股票名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额_亿,机构卖出总额_亿,机构买入净额_亿
2026-07-28,2026-07-28,300502,新易盛,406.9,-17.1283,4,2,32.9155,16.5885,16.327
2026-07-28,2026-07-23,600664,哈药股份,6.0,0.3344,2,2,70.4491,58.3401,12.109
2026-07-28,2026-07-28,300308,中际旭创,908.0,-15.687,3,3,33.628,22.1435,11.4845
2026-07-28,2026-07-27,301526,国际复材,30.84,20.0,3,2,14.0549,4.5168,9.5381
2026-07-28,2026-07-28,688783,西安奕材,28.43,-19.9831,0,5,0.0,8.714,-8.714
2026-07-28,2026-07-28,688498,源杰科技,1226.0,-16.7691,0,2,0.0,8.2239,-8.2239
2026-07-28,2026-07-27,002353,杰瑞股份,151.02,10.0007,2,4,3.3019,9.5233,-6.2214
2026-07-28,2026-07-27,002353,杰瑞股份,151.02,10.0007,4,4,11.088,16.1395,-5.0515
2026-07-28,2026-07-28,688765,禾元生物,36.89,-19.9783,0,5,0.0,3.8133,-3.8133
2026-07-28,2026-07-23,600711,盛屯矿业,11.26,6.3267,1,0,2.4799,0.0,2.4799
2026-07-28,2026-07-28,688759,必贝特,23.2,-17.2611,0,4,0.0,2.4558,-2.4558
2026-07-28,2026-07-23,301583,托伦斯,145.0,-8.6384,5,3,4.9592,2.6586,2.3006
2026-07-28,2026-07-28,688759,必贝特,23.2,-17.2611,1,5,0.0717,2.3666,-2.295
2026-07-28,2026-07-23,002156,通富微电,69.82,-6.7824,3,2,7.3615,9.5403,-2.1789
2026-07-28,2026-07-28,301583,托伦斯,175.1,0.0571,4,5,3.0148,5.1433,-2.1285
2026-07-28,2026-07-28,001248,华润新能源,14.27,2.1475,4,4,2.4857,4.6004,-2.1147
2026-07-28,2026-07-27,688146,中船特气,284.94,15.9849,1,1,3.3508,1.2939,2.0569
2026-07-28,2026-07-23,002558,巨人网络,25.26,-9.8501,0,3,0.0,2.0499,-2.0499
2026-07-28,2026-07-27,002409,雅克科技,169.35,10.0032,1,3,3.1445,5.185,-2.0405
2026-07-28,2026-07-23,002432,九安医疗,73.48,-9.9951,1,3,1.079,3.102,-2.023
