抓取日期,季度,基金代码,基金名称,股票名称,占净值比例,持股数,持仓市值
2026-07-28,2026Q2,510050,华夏上证50ETF,贵州茅台,9.92,456.64,662134.67
2026-07-28,2026Q2,510050,华夏上证50ETF,中国平安,6.63,7788.34,442222.02
2026-07-28,2026Q2,510050,华夏上证50ETF,紫金矿业,5.9,12029.79,393614.66
2026-07-28,2026Q2,510050,华夏上证50ETF,招商银行,5.33,9041.31,355504.42
2026-07-28,2026Q2,510050,华夏上证50ETF,长江电力,3.62,8933.74,241568.33
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,宁德时代,4.27,2126.97,854404.57
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,贵州茅台,3.65,503.85,730579.89
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中际旭创,2.55,894.87,509550.6
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中国平安,2.44,8577.36,487022.74
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,紫金矿业,2.17,13256.1,433739.58
2026-07-28,2026Q2,510500,南方中证500ETF,亨通光电,1.05,1447.5,76225.16
2026-07-28,2026Q2,510500,南方中证500ETF,赤峰黄金,0.73,1223.57,52797.15
2026-07-28,2026Q2,510500,南方中证500ETF,佰维存储,0.69,241.13,50206.93
2026-07-28,2026Q2,510500,南方中证500ETF,金风科技,0.64,1751.6,46067.03
2026-07-28,2026Q2,510500,南方中证500ETF,信维通信,0.63,706.65,45903.75
2026-07-28,2026Q2,159919,嘉实沪深300ETF,宁德时代,4.33,1001.15,402160.55
2026-07-28,2026Q2,159919,嘉实沪深300ETF,贵州茅台,3.7,237.03,343695.39
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中际旭创,2.58,420.53,239452.79
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中国平安,2.47,4035.17,229117.2
2026-07-28,2026Q2,159919,嘉实沪深300ETF,紫金矿业,2.2,6235.02,204009.79
2026-07-28,2026Q2,510050,华夏上证50ETF,贵州茅台,9.92,456.64,662134.67
2026-07-28,2026Q2,510050,华夏上证50ETF,中国平安,6.63,7788.34,442222.02
2026-07-28,2026Q2,510050,华夏上证50ETF,紫金矿业,5.9,12029.79,393614.66
2026-07-28,2026Q2,510050,华夏上证50ETF,招商银行,5.33,9041.31,355504.42
2026-07-28,2026Q2,510050,华夏上证50ETF,长江电力,3.62,8933.74,241568.33
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,宁德时代,4.27,2126.97,854404.57
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,贵州茅台,3.65,503.85,730579.89
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中际旭创,2.55,894.87,509550.6
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中国平安,2.44,8577.36,487022.74
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,紫金矿业,2.17,13256.1,433739.58
2026-07-28,2026Q2,510500,南方中证500ETF,亨通光电,1.05,1447.5,76225.16
2026-07-28,2026Q2,510500,南方中证500ETF,赤峰黄金,0.73,1223.57,52797.15
2026-07-28,2026Q2,510500,南方中证500ETF,佰维存储,0.69,241.13,50206.93
2026-07-28,2026Q2,510500,南方中证500ETF,金风科技,0.64,1751.6,46067.03
2026-07-28,2026Q2,510500,南方中证500ETF,信维通信,0.63,706.65,45903.75
2026-07-28,2026Q2,159919,嘉实沪深300ETF,宁德时代,4.33,1001.15,402160.55
2026-07-28,2026Q2,159919,嘉实沪深300ETF,贵州茅台,3.7,237.03,343695.39
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中际旭创,2.58,420.53,239452.79
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中国平安,2.47,4035.17,229117.2
2026-07-28,2026Q2,159919,嘉实沪深300ETF,紫金矿业,2.2,6235.02,204009.79
2026-07-28,2026Q2,510050,华夏上证50ETF,贵州茅台,9.92,456.64,662134.67
2026-07-28,2026Q2,510050,华夏上证50ETF,中国平安,6.63,7788.34,442222.02
2026-07-28,2026Q2,510050,华夏上证50ETF,紫金矿业,5.9,12029.79,393614.66
2026-07-28,2026Q2,510050,华夏上证50ETF,招商银行,5.33,9041.31,355504.42
2026-07-28,2026Q2,510050,华夏上证50ETF,长江电力,3.62,8933.74,241568.33
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,宁德时代,4.27,2126.97,854404.57
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,贵州茅台,3.65,503.85,730579.89
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中际旭创,2.55,894.87,509550.6
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中国平安,2.44,8577.36,487022.74
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,紫金矿业,2.17,13256.1,433739.58
2026-07-28,2026Q2,510500,南方中证500ETF,亨通光电,1.05,1447.5,76225.16
2026-07-28,2026Q2,510500,南方中证500ETF,赤峰黄金,0.73,1223.57,52797.15
2026-07-28,2026Q2,510500,南方中证500ETF,佰维存储,0.69,241.13,50206.93
2026-07-28,2026Q2,510500,南方中证500ETF,金风科技,0.64,1751.6,46067.03
2026-07-28,2026Q2,510500,南方中证500ETF,信维通信,0.63,706.65,45903.75
2026-07-28,2026Q2,159919,嘉实沪深300ETF,宁德时代,4.33,1001.15,402160.55
2026-07-28,2026Q2,159919,嘉实沪深300ETF,贵州茅台,3.7,237.03,343695.39
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中际旭创,2.58,420.53,239452.79
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中国平安,2.47,4035.17,229117.2
2026-07-28,2026Q2,159919,嘉实沪深300ETF,紫金矿业,2.2,6235.02,204009.79
2026-07-28,2026Q2,510050,华夏上证50ETF,贵州茅台,9.92,456.64,662134.67
2026-07-28,2026Q2,510050,华夏上证50ETF,中国平安,6.63,7788.34,442222.02
2026-07-28,2026Q2,510050,华夏上证50ETF,紫金矿业,5.9,12029.79,393614.66
2026-07-28,2026Q2,510050,华夏上证50ETF,招商银行,5.33,9041.31,355504.42
2026-07-28,2026Q2,510050,华夏上证50ETF,长江电力,3.62,8933.74,241568.33
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,宁德时代,4.27,2126.97,854404.57
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,贵州茅台,3.65,503.85,730579.89
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中际旭创,2.55,894.87,509550.6
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,中国平安,2.44,8577.36,487022.74
2026-07-28,2026Q2,510300,华泰柏瑞沪深300ETF,紫金矿业,2.17,13256.1,433739.58
2026-07-28,2026Q2,510500,南方中证500ETF,亨通光电,1.05,1447.5,76225.16
2026-07-28,2026Q2,510500,南方中证500ETF,赤峰黄金,0.73,1223.57,52797.15
2026-07-28,2026Q2,510500,南方中证500ETF,佰维存储,0.69,241.13,50206.93
2026-07-28,2026Q2,510500,南方中证500ETF,金风科技,0.64,1751.6,46067.03
2026-07-28,2026Q2,510500,南方中证500ETF,信维通信,0.63,706.65,45903.75
2026-07-28,2026Q2,159919,嘉实沪深300ETF,宁德时代,4.33,1001.15,402160.55
2026-07-28,2026Q2,159919,嘉实沪深300ETF,贵州茅台,3.7,237.03,343695.39
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中际旭创,2.58,420.53,239452.79
2026-07-28,2026Q2,159919,嘉实沪深300ETF,中国平安,2.47,4035.17,229117.2
2026-07-28,2026Q2,159919,嘉实沪深300ETF,紫金矿业,2.2,6235.02,204009.79
